Completed Date,Task,Hour,Project Name,Type
2019-05-01,Summery reports mockup,10,Project Manager,Mockup
2019-05-02,Client issue,20,Project Manager,Client Issue
2019-05-03,Summery reports form design,12,Project Manager,New Feature
2019-05-22,Summery reports execute (All functionality),60,Project Manager,New Feature
2019-05-22,Release issue,6,Project Manager,Release
2019-05-28,Helping Sadik vi for export csv file,8,Project Manager,New Feature
2019-05-30,Helping New team member,5,Project Manager,New Feature
2019-05-31,Advanced report csv export,8,Project Manager,Bug Fix
