Date,Task,Hour,Type,Project,Version
01-Jan-2019,"Merge develop with trello",6,New Feature,PM Free,
02-Jan-2019,"Merge develop with trello",4,New Feature,PM Free,
02-Jan-2019,"Make decission about list query optimizing",3,Fix,PM Pro,
03-Jan-2019,Multipul request preventing in task-list page,7,Fix,PM Free,
04-Jan-2019,attend meeting and create work flow for task tag,5,Fix,PM Free,
07-Jan-2019,Fix client issue,2,Fix,PM Free,
07-Jan-2019,Task label,4,New Feature,PM Free,
08-Jan-2019,"Make decission about list query optimizing",10,Fix,PM Pro,
07-Jan-2019,Task label,40,New Feature,PM Free,
